City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
79,zuni pueblo,35.0725,-108.8506,19.35,75,100,12.25,US,2024-06-27
80,weno,7.4515,151.8468,28.97,84,100,4.12,FM,2024-06-27
81,maintirano,-18.0667,44.0167,24.07,71,100,1.91,MG,2024-06-27
82,atafu village,-8.5421,-172.5159,28.46,77,41,6.73,TK,2024-06-27
83,kuusamo,65.9667,29.1833,14.02,82,0,2.06,FI,2024-06-27
84,bredasdorp,-34.5322,20.0403,14.89,52,0,2.05,ZA,2024-06-27
85,lerwick,60.1545,-1.1494,13.0,91,0,8.5,GB,2024-06-27
86,olonkinbyen,70.9221,-8.7187,2.69,90,100,3.12,SJ,2024-06-27
87,codrington,-38.2667,141.9667,10.02,74,100,7.18,AU,2024-06-27
88,pikeville,37.4793,-82.5188,31.84,42,0,3.09,US,2024-06-27
89,firuzabad,28.8438,52.5707,26.1,22,0,2.16,IR,2024-06-27
90,laibin,23.7,109.2667,24.31,95,63,2.38,CN,2024-06-27
91,san jose de jachal,-30.2406,-68.7469,24.51,5,100,11.92,AR,2024-06-27
92,tromso,69.6496,18.957,10.01,76,0,6.17,NO,2024-06-27
93,alto araguaia,-17.3147,-53.2153,21.57,40,9,1.43,BR,2024-06-27
94,djibo,14.1022,-1.6306,33.71,34,66,2.65,BF,2024-06-27
95,coquimbo,-29.9533,-71.3436,12.85,94,100,2.57,CL,2024-06-27
96,peace river,56.2501,-117.286,22.17,52,100,2.57,CA,2024-06-27
97,lecheng,25.1238,113.3254,24.66,99,89,1.41,CN,2024-06-27
98,kouango,4.9934,19.9619,23.21,82,100,1.77,CF,2024-06-27
99,hawaiian paradise park,19.5933,-154.9731,27.8,68,40,4.12,US,2024-06-27
100,geraldton,-28.7667,114.6,16.23,82,75,5.66,AU,2024-06-27
101,thompson,55.7435,-97.8558,19.09,45,75,7.72,CA,2024-06-27
102,taltal,-25.4,-70.4833,13.97,86,100,0.16,CL,2024-06-27
103,constantia,44.1833,28.65,18.38,69,15,2.54,RO,2024-06-27
104,calden,51.4094,9.4019,20.6,88,15,2.06,DE,2024-06-27
105,santa marta,11.2408,-74.199,30.03,80,40,5.14,CO,2024-06-27
106,wabag,-5.4781,143.7021,15.08,95,88,0.31,PG,2024-06-27
107,yaren,-0.5472,166.916,28.79,68,69,6.03,NR,2024-06-27
108,boali,4.8005,18.1275,22.31,86,58,1.2,CF,2024-06-27
109,bocana de paiwas,12.7857,-85.1227,24.34,91,100,0.95,NI,2024-06-27
110,jales,-20.2689,-50.5458,22.78,48,36,2.29,BR,2024-06-27
111,antsohihy,-14.8796,47.9875,23.16,59,19,5.52,MG,2024-06-27
112,st. john's,47.5649,-52.7093,18.64,90,97,7.83,CA,2024-06-27
113,namdrik,5.5994,168.1028,28.89,73,96,6.57,MH,2024-06-27
